First Name,Last Name,Email Address,Datetime,Action,Email Subject Line
Ron,Weasley,ron.weasley@example.org,2020-06-19 02:37:54,Opened,Volunteer Spotlight: You make it happen
Clark,Kent,clark.kent@example.org,2020-07-31 21:52:56,Sent,Help us reach our goal!
Morty,Smith,morty.smith@example.org,2020-10-28 14:54:13,Clicked,Volunteer Spotlight: You make it happen
Scott,Summers,scott.summers@example.org,2020-12-26 13:00:38,Sent,Upcoming community cleanup — join us
Harley,Quinn,harley.quinn@example.org,2020-01-24 05:55:11,Sent,Exclusive update for supporters
Bruce,Wayne,bruce.wayne@example.org,2020-08-14 07:50:56,Sent,Exclusive update for supporters
Wanda,Maximoff,wanda.maximoff@example.org,2020-05-16 12:18:57,Sent,Volunteer Spotlight: You make it happen
Steve,Rogers,steve.rogers@example.org,2020-08-19 15:25:19,Sent,Exclusive update for supporters
Tony,Stark,tony.stark@example.org,2020-12-04 00:27:38,Sent,We smashed our target — thanks to you!
Ash,Ketchum,ash.ketchum@example.org,2020-05-18 20:57:42,Sent,Tech workshop registration now open
Ash,Ketchum,ash.ketchum@example.org,2020-03-14 12:27:17,Sent,Your gift is changing lives
Morty,Smith,morty.smith@example.org,2020-07-12 08:04:12,Sent,See your impact this month
Ron,Weasley,ron.weasley@example.org,2020-04-19 22:04:02,Sent,Volunteer Spotlight: You make it happen
Patrick,Star,patrick.star@example.org,2020-11-11 05:56:37,Sent,Tech workshop registration now open
Tony,Stark,tony.stark@example.org,2020-02-24 04:44:13,Sent,Tech workshop registration now open
Bruce,Wayne,bruce.wayne@example.org,2020-02-11 12:35:41,Opened,Upcoming community cleanup — join us
Ash,Ketchum,ash.ketchum@example.org,2020-08-20 04:47:17,Opened,Thank you for being part of the mission
Lisa,Simpson,lisa.simpson@example.org,2020-05-07 09:41:47,Sent,Join the food drive next week
Barbara,Gordon,barbara.gordon@example.org,2020-11-20 14:20:47,Opened,Thank you for being part of the mission
Bugs,Bunny,bugs.bunny@example.org,2020-06-05 07:46:14,Sent,Upcoming community cleanup — join us
Velma,Dinkley,velma.dinkley@example.org,2020-10-29 22:52:26,Sent,Holiday meal service needs you
Rick,Sanchez,rick.sanchez@example.org,2020-11-02 14:07:31,Clicked,Exclusive update for supporters
Velma,Dinkley,velma.dinkley@example.org,2020-09-23 18:43:30,Sent,Holiday meal service needs you
Hermione,Granger,hermione.granger@example.org,2020-04-14 09:22:26,Sent,Holiday meal service needs you
Scott,Summers,scott.summers@example.org,2020-07-12 23:55:45,Opened,Your gift is changing lives
Steve,Rogers,steve.rogers@example.org,2020-05-20 23:28:00,Sent,Help us reach our goal!
Steve,Rogers,steve.rogers@example.org,2020-06-16 05:01:57,Sent,Holiday meal service needs you
Diana,Prince,diana.prince@example.org,2020-01-05 13:22:19,Sent,Holiday meal service needs you
Rick,Sanchez,rick.sanchez@example.org,2020-07-10 20:07:41,Sent,See your impact this month
Ron,Weasley,ron.weasley@example.org,2020-05-10 16:20:36,Opened,Exclusive update for supporters
Barbara,Gordon,barbara.gordon@example.org,2020-09-02 23:55:33,Opened,Thank you for being part of the mission
Scott,Summers,scott.summers@example.org,2020-09-29 05:13:39,Sent,Spring fundraiser kicks off today
Bruce,Wayne,bruce.wayne@example.org,2020-08-05 16:40:58,Sent,Upcoming community cleanup — join us
Scott,Summers,scott.summers@example.org,2020-01-22 07:07:04,Sent,Holiday meal service needs you
Mickey,Mouse,mickey.mouse@example.org,2020-01-24 02:37:10,Sent,Upcoming community cleanup — join us
Harley,Quinn,harley.quinn@example.org,2020-11-23 17:17:05,Sent,Thank you for being part of the mission
Bruce,Wayne,bruce.wayne@example.org,2020-12-23 02:22:40,Sent,Upcoming community cleanup — join us
Ash,Ketchum,ash.ketchum@example.org,2020-05-29 16:29:11,Sent,Your gift is changing lives
Morty,Smith,morty.smith@example.org,2020-01-26 13:41:15,Sent,Volunteer Spotlight: You make it happen
Mickey,Mouse,mickey.mouse@example.org,2020-12-14 00:16:27,Sent,Join the food drive next week
Steve,Rogers,steve.rogers@example.org,2020-09-29 04:15:51,Opened,Tech workshop registration now open
Ginny,Weasley,ginny.weasley@example.org,2020-06-26 00:26:14,Sent,See your impact this month
Ron,Weasley,ron.weasley@example.org,2020-11-13 04:04:29,Opened,Holiday meal service needs you
Scott,Summers,scott.summers@example.org,2021-08-15 12:18:39,Sent,Thank you for being part of the mission
Lisa,Simpson,lisa.simpson@example.org,2021-01-18 13:13:11,Sent,Join the food drive next week
Diana,Prince,diana.prince@example.org,2021-06-28 09:34:12,Sent,Thank you for being part of the mission
Morty,Smith,morty.smith@example.org,2021-01-28 17:13:39,Sent,Your gift is changing lives
Mickey,Mouse,mickey.mouse@example.org,2021-10-27 10:56:22,Sent,Upcoming community cleanup — join us
Rick,Sanchez,rick.sanchez@example.org,2021-08-24 21:59:15,Sent,Join the food drive next week
Ash,Ketchum,ash.ketchum@example.org,2021-10-26 20:39:40,Sent,Tech workshop registration now open
Ash,Ketchum,ash.ketchum@example.org,2021-04-11 13:25:58,Sent,Spring fundraiser kicks off today
Peter,Parker,peter.parker@example.org,2021-01-10 07:13:25,Sent,Upcoming community cleanup — join us
Jean,Grey,jean.grey@example.org,2021-12-30 01:59:44,Sent,Tech workshop registration now open
Ron,Weasley,ron.weasley@example.org,2021-09-17 19:09:26,Sent,Volunteer Spotlight: You make it happen
Lois,Lane,lois.lane@example.org,2021-09-21 09:00:11,Sent,Holiday meal service needs you
Mickey,Mouse,mickey.mouse@example.org,2021-11-23 20:08:52,Opened,Exclusive update for supporters
Scott,Summers,scott.summers@example.org,2021-04-25 04:10:33,Sent,Volunteer Spotlight: You make it happen
Ron,Weasley,ron.weasley@example.org,2021-08-14 14:06:02,Sent,We smashed our target — thanks to you!
Bugs,Bunny,bugs.bunny@example.org,2021-03-13 15:42:40,Opened,Your gift is changing lives
Hermione,Granger,hermione.granger@example.org,2021-10-23 01:39:58,Sent,Tech workshop registration now open
Barbara,Gordon,barbara.gordon@example.org,2021-12-07 08:57:48,Sent,See your impact this month
Ash,Ketchum,ash.ketchum@example.org,2021-07-10 16:48:50,Sent,Help us reach our goal!
Ron,Weasley,ron.weasley@example.org,2021-12-26 10:41:55,Sent,Thank you for being part of the mission
Tony,Stark,tony.stark@example.org,2021-03-16 17:01:30,Sent,Spring fundraiser kicks off today
Hermione,Granger,hermione.granger@example.org,2021-07-23 15:16:54,Sent,We smashed our target — thanks to you!
Lois,Lane,lois.lane@example.org,2021-01-06 21:31:08,Sent,Join the food drive next week
Patrick,Star,patrick.star@example.org,2021-11-16 07:11:44,Opened,Help us reach our goal!
Jean,Grey,jean.grey@example.org,2021-02-13 09:55:49,Sent,We smashed our target — thanks to you!
Velma,Dinkley,velma.dinkley@example.org,2021-10-25 05:49:02,Opened,Tech workshop registration now open
Diana,Prince,diana.prince@example.org,2021-07-05 20:38:55,Sent,Spring fundraiser kicks off today
Wanda,Maximoff,wanda.maximoff@example.org,2021-01-19 09:41:36,Sent,Thank you for being part of the mission
Bugs,Bunny,bugs.bunny@example.org,2021-09-09 11:08:53,Sent,Tech workshop registration now open
Natasha,Romanoff,natasha.romanoff@example.org,2021-11-12 19:07:42,Sent,Holiday meal service needs you
Natasha,Romanoff,natasha.romanoff@example.org,2021-12-15 21:47:57,Sent,Help us reach our goal!
Barbara,Gordon,barbara.gordon@example.org,2021-05-28 06:47:54,Sent,Volunteer Spotlight: You make it happen
Jean,Grey,jean.grey@example.org,2021-08-15 14:30:49,Opened,Spring fundraiser kicks off today
Clark,Kent,clark.kent@example.org,2021-08-24 05:21:37,Sent,Tech workshop registration now open
Bugs,Bunny,bugs.bunny@example.org,2021-12-05 09:54:35,Opened,Thank you for being part of the mission
Clark,Kent,clark.kent@example.org,2021-03-17 15:17:50,Sent,Exclusive update for supporters
Lisa,Simpson,lisa.simpson@example.org,2021-08-12 04:31:30,Sent,Your gift is changing lives
Velma,Dinkley,velma.dinkley@example.org,2021-04-04 03:40:33,Sent,Join the food drive next week
Lois,Lane,lois.lane@example.org,2021-02-10 02:43:10,Opened,Help us reach our goal!
Velma,Dinkley,velma.dinkley@example.org,2021-08-17 02:02:33,Sent,Your gift is changing lives
Patrick,Star,patrick.star@example.org,2021-04-20 04:53:57,Sent,We smashed our target — thanks to you!
Morty,Smith,morty.smith@example.org,2021-09-21 02:40:39,Sent,Volunteer Spotlight: You make it happen
Lisa,Simpson,lisa.simpson@example.org,2021-08-07 09:32:03,Sent,Your gift is changing lives
Clark,Kent,clark.kent@example.org,2021-12-10 04:14:06,Sent,See your impact this month
Homer,Simpson,homer.simpson@example.org,2021-02-08 23:26:06,Opened,We smashed our target — thanks to you!
Homer,Simpson,homer.simpson@example.org,2021-10-28 16:25:15,Sent,Join the food drive next week
Homer,Simpson,homer.simpson@example.org,2021-08-14 03:47:49,Sent,Spring fundraiser kicks off today
Tony,Stark,tony.stark@example.org,2021-04-16 11:37:04,Sent,Help us reach our goal!
Wanda,Maximoff,wanda.maximoff@example.org,2021-05-11 20:44:40,Sent,Holiday meal service needs you
Natasha,Romanoff,natasha.romanoff@example.org,2021-05-19 18:23:00,Sent,Help us reach our goal!
Jean,Grey,jean.grey@example.org,2021-01-13 07:17:13,Sent,We smashed our target — thanks to you!
Ginny,Weasley,ginny.weasley@example.org,2021-04-03 01:11:00,Sent,We smashed our target — thanks to you!
Steve,Rogers,steve.rogers@example.org,2021-12-24 11:13:07,Sent,Volunteer Spotlight: You make it happen
Rick,Sanchez,rick.sanchez@example.org,2021-11-09 13:01:34,Sent,Your gift is changing lives
Mickey,Mouse,mickey.mouse@example.org,2021-07-28 22:21:30,Sent,Holiday meal service needs you
Bugs,Bunny,bugs.bunny@example.org,2021-07-18 21:37:46,Sent,Holiday meal service needs you
Tony,Stark,tony.stark@example.org,2021-02-02 07:33:58,Sent,Exclusive update for supporters
Jean,Grey,jean.grey@example.org,2021-10-01 00:22:37,Sent,Exclusive update for supporters
Natasha,Romanoff,natasha.romanoff@example.org,2021-10-02 21:19:59,Opened,Your gift is changing lives
Steve,Rogers,steve.rogers@example.org,2021-01-17 12:57:29,Sent,Volunteer Spotlight: You make it happen
Homer,Simpson,homer.simpson@example.org,2021-03-31 09:21:15,Sent,Your gift is changing lives
Homer,Simpson,homer.simpson@example.org,2021-11-27 23:53:06,Sent,We smashed our target — thanks to you!
Natasha,Romanoff,natasha.romanoff@example.org,2021-04-04 12:51:01,Opened,Exclusive update for supporters
Bruce,Wayne,bruce.wayne@example.org,2021-04-04 05:17:55,Sent,Volunteer Spotlight: You make it happen
Bugs,Bunny,bugs.bunny@example.org,2021-04-20 13:11:18,Sent,Thank you for being part of the mission
Scott,Summers,scott.summers@example.org,2021-07-30 05:44:18,Sent,Your gift is changing lives
Rick,Sanchez,rick.sanchez@example.org,2021-04-22 23:40:52,Sent,Thank you for being part of the mission
Velma,Dinkley,velma.dinkley@example.org,2021-08-19 19:15:34,Sent,Join the food drive next week
Scott,Summers,scott.summers@example.org,2021-08-10 20:39:06,Sent,Volunteer Spotlight: You make it happen
Clark,Kent,clark.kent@example.org,2021-04-22 18:45:33,Sent,Volunteer Spotlight: You make it happen
Tony,Stark,tony.stark@example.org,2022-05-01 00:45:41,Sent,Tech workshop registration now open
Hermione,Granger,hermione.granger@example.org,2022-10-12 11:31:56,Sent,Help us reach our goal!
Harley,Quinn,harley.quinn@example.org,2022-12-29 10:28:10,Sent,See your impact this month
Patrick,Star,patrick.star@example.org,2022-12-20 22:30:23,Sent,Holiday meal service needs you
Lois,Lane,lois.lane@example.org,2022-12-09 14:49:53,Sent,Your gift is changing lives
Wanda,Maximoff,wanda.maximoff@example.org,2022-07-24 22:37:00,Opened,Upcoming community cleanup — join us
Homer,Simpson,homer.simpson@example.org,2022-10-06 13:31:11,Opened,Your gift is changing lives
Natasha,Romanoff,natasha.romanoff@example.org,2022-06-27 22:14:10,Sent,Your gift is changing lives
Tony,Stark,tony.stark@example.org,2022-08-29 01:13:01,Clicked,Thank you for being part of the mission
Harley,Quinn,harley.quinn@example.org,2022-11-03 06:08:09,Sent,Help us reach our goal!
Velma,Dinkley,velma.dinkley@example.org,2022-03-23 21:45:24,Sent,Holiday meal service needs you
Bruce,Wayne,bruce.wayne@example.org,2022-10-24 15:18:27,Sent,Help us reach our goal!
Barbara,Gordon,barbara.gordon@example.org,2022-05-04 22:57:02,Sent,Holiday meal service needs you
Homer,Simpson,homer.simpson@example.org,2022-10-06 18:10:45,Sent,Upcoming community cleanup — join us
Patrick,Star,patrick.star@example.org,2022-04-20 09:15:28,Sent,Thank you for being part of the mission
Ron,Weasley,ron.weasley@example.org,2022-08-14 12:14:06,Sent,We smashed our target — thanks to you!
Bruce,Wayne,bruce.wayne@example.org,2022-03-22 06:27:10,Clicked,Join the food drive next week
Lois,Lane,lois.lane@example.org,2022-11-01 07:43:51,Opened,Your gift is changing lives
Jean,Grey,jean.grey@example.org,2022-07-29 09:10:57,Sent,We smashed our target — thanks to you!
Clark,Kent,clark.kent@example.org,2022-11-24 07:02:25,Sent,Tech workshop registration now open
Peter,Parker,peter.parker@example.org,2022-09-02 19:39:34,Sent,Help us reach our goal!
Steve,Rogers,steve.rogers@example.org,2022-01-18 11:59:19,Sent,We smashed our target — thanks to you!
Rick,Sanchez,rick.sanchez@example.org,2022-01-04 01:09:04,Sent,Volunteer Spotlight: You make it happen
Steve,Rogers,steve.rogers@example.org,2022-09-06 20:08:46,Sent,Upcoming community cleanup — join us
Tony,Stark,tony.stark@example.org,2022-11-05 22:34:43,Sent,Volunteer Spotlight: You make it happen
Homer,Simpson,homer.simpson@example.org,2022-04-07 12:49:26,Sent,Join the food drive next week
Diana,Prince,diana.prince@example.org,2022-06-25 07:57:47,Sent,Upcoming community cleanup — join us
Tony,Stark,tony.stark@example.org,2022-10-09 02:27:49,Opened,Your gift is changing lives
Velma,Dinkley,velma.dinkley@example.org,2022-11-28 01:17:07,Opened,Thank you for being part of the mission
Homer,Simpson,homer.simpson@example.org,2022-05-04 05:17:04,Sent,Upcoming community cleanup — join us
Homer,Simpson,homer.simpson@example.org,2022-05-23 09:24:01,Sent,See your impact this month
Bruce,Wayne,bruce.wayne@example.org,2022-03-31 11:37:56,Opened,See your impact this month
Scott,Summers,scott.summers@example.org,2022-09-04 10:08:38,Opened,Join the food drive next week
Peter,Parker,peter.parker@example.org,2022-03-10 08:00:30,Opened,We smashed our target — thanks to you!
Lois,Lane,lois.lane@example.org,2022-11-06 14:37:54,Sent,Spring fundraiser kicks off today
Wanda,Maximoff,wanda.maximoff@example.org,2022-10-27 04:42:14,Sent,Tech workshop registration now open
Clark,Kent,clark.kent@example.org,2022-05-29 23:33:50,Sent,Join the food drive next week
Lisa,Simpson,lisa.simpson@example.org,2022-06-25 03:46:58,Opened,Thank you for being part of the mission
Natasha,Romanoff,natasha.romanoff@example.org,2022-06-15 12:11:36,Opened,Join the food drive next week
Bruce,Wayne,bruce.wayne@example.org,2022-10-11 10:10:11,Sent,We smashed our target — thanks to you!
Rick,Sanchez,rick.sanchez@example.org,2022-01-22 20:50:15,Sent,Volunteer Spotlight: You make it happen
Diana,Prince,diana.prince@example.org,2022-03-08 17:10:24,Opened,Exclusive update for supporters
Mickey,Mouse,mickey.mouse@example.org,2022-01-30 14:25:24,Opened,Your gift is changing lives
Scott,Summers,scott.summers@example.org,2022-06-22 05:48:24,Sent,Tech workshop registration now open
Peter,Parker,peter.parker@example.org,2022-02-06 14:56:55,Opened,Holiday meal service needs you
Morty,Smith,morty.smith@example.org,2022-10-19 02:53:57,Sent,Volunteer Spotlight: You make it happen
Patrick,Star,patrick.star@example.org,2022-09-03 10:46:57,Sent,Spring fundraiser kicks off today
Clark,Kent,clark.kent@example.org,2022-06-14 08:29:30,Sent,Volunteer Spotlight: You make it happen
Jean,Grey,jean.grey@example.org,2022-01-07 11:30:49,Opened,Tech workshop registration now open
Peter,Parker,peter.parker@example.org,2022-07-09 11:36:38,Sent,Volunteer Spotlight: You make it happen
Bruce,Wayne,bruce.wayne@example.org,2022-02-06 10:38:46,Sent,Upcoming community cleanup — join us
Bugs,Bunny,bugs.bunny@example.org,2022-06-24 18:15:31,Sent,Spring fundraiser kicks off today
Bugs,Bunny,bugs.bunny@example.org,2022-05-17 10:29:54,Sent,Spring fundraiser kicks off today
Lisa,Simpson,lisa.simpson@example.org,2022-12-25 08:40:16,Sent,Spring fundraiser kicks off today
Jean,Grey,jean.grey@example.org,2022-12-22 02:27:08,Sent,Spring fundraiser kicks off today
Natasha,Romanoff,natasha.romanoff@example.org,2022-12-28 11:41:12,Sent,We smashed our target — thanks to you!
Patrick,Star,patrick.star@example.org,2022-12-06 14:18:25,Sent,Tech workshop registration now open
Lois,Lane,lois.lane@example.org,2022-08-04 08:51:51,Opened,Exclusive update for supporters
Jean,Grey,jean.grey@example.org,2022-10-14 00:58:42,Sent,Exclusive update for supporters
Harley,Quinn,harley.quinn@example.org,2022-07-09 18:59:24,Opened,Upcoming community cleanup — join us
Morty,Smith,morty.smith@example.org,2022-09-27 21:33:13,Sent,Your gift is changing lives
Tony,Stark,tony.stark@example.org,2022-06-08 20:08:13,Sent,Your gift is changing lives
Bugs,Bunny,bugs.bunny@example.org,2022-08-02 16:14:38,Sent,We smashed our target — thanks to you!
Steve,Rogers,steve.rogers@example.org,2022-08-10 08:45:45,Sent,Upcoming community cleanup — join us
Ash,Ketchum,ash.ketchum@example.org,2022-06-04 04:32:42,Sent,Exclusive update for supporters
Steve,Rogers,steve.rogers@example.org,2022-05-07 11:33:20,Sent,Help us reach our goal!
Mickey,Mouse,mickey.mouse@example.org,2022-12-17 18:21:24,Opened,Spring fundraiser kicks off today
Harley,Quinn,harley.quinn@example.org,2022-11-13 03:48:56,Sent,Holiday meal service needs you
Ash,Ketchum,ash.ketchum@example.org,2022-12-13 10:03:53,Clicked,We smashed our target — thanks to you!
Jean,Grey,jean.grey@example.org,2022-01-14 08:24:26,Opened,Upcoming community cleanup — join us
Velma,Dinkley,velma.dinkley@example.org,2022-12-05 03:26:58,Opened,Your gift is changing lives
Natasha,Romanoff,natasha.romanoff@example.org,2022-06-24 06:21:30,Sent,Exclusive update for supporters
Barbara,Gordon,barbara.gordon@example.org,2022-10-16 10:29:38,Opened,Upcoming community cleanup — join us
Ron,Weasley,ron.weasley@example.org,2022-05-09 21:36:30,Opened,Your gift is changing lives
Morty,Smith,morty.smith@example.org,2022-11-30 03:18:54,Sent,Upcoming community cleanup — join us
Lisa,Simpson,lisa.simpson@example.org,2022-05-12 02:15:30,Sent,Exclusive update for supporters
Morty,Smith,morty.smith@example.org,2022-11-04 17:37:29,Sent,Your gift is changing lives
Barbara,Gordon,barbara.gordon@example.org,2022-06-19 03:59:16,Sent,Tech workshop registration now open
Bruce,Wayne,bruce.wayne@example.org,2022-06-12 14:10:43,Sent,Your gift is changing lives
Diana,Prince,diana.prince@example.org,2022-12-28 08:07:18,Opened,Join the food drive next week
Bugs,Bunny,bugs.bunny@example.org,2023-07-22 08:39:05,Opened,Help us reach our goal!
Bruce,Wayne,bruce.wayne@example.org,2023-09-09 17:27:22,Opened,Volunteer Spotlight: You make it happen
Lois,Lane,lois.lane@example.org,2023-08-19 21:54:06,Opened,See your impact this month
Lisa,Simpson,lisa.simpson@example.org,2023-08-01 09:09:38,Sent,We smashed our target — thanks to you!
Tony,Stark,tony.stark@example.org,2023-08-31 05:03:17,Sent,Help us reach our goal!
Lisa,Simpson,lisa.simpson@example.org,2023-03-14 10:01:15,Sent,See your impact this month
Lois,Lane,lois.lane@example.org,2023-07-15 09:24:53,Opened,See your impact this month
Homer,Simpson,homer.simpson@example.org,2023-02-22 12:19:47,Sent,Thank you for being part of the mission
Bugs,Bunny,bugs.bunny@example.org,2023-10-06 15:32:42,Sent,See your impact this month
Velma,Dinkley,velma.dinkley@example.org,2023-12-01 03:09:49,Sent,Upcoming community cleanup — join us
Morty,Smith,morty.smith@example.org,2023-07-15 18:04:50,Sent,Upcoming community cleanup — join us
Patrick,Star,patrick.star@example.org,2023-08-26 07:15:24,Opened,Volunteer Spotlight: You make it happen
Barbara,Gordon,barbara.gordon@example.org,2023-05-12 18:26:09,Sent,Thank you for being part of the mission
Diana,Prince,diana.prince@example.org,2023-06-21 09:03:13,Opened,Spring fundraiser kicks off today
Bruce,Wayne,bruce.wayne@example.org,2023-07-05 09:54:58,Sent,See your impact this month
Velma,Dinkley,velma.dinkley@example.org,2023-04-20 19:04:35,Clicked,Volunteer Spotlight: You make it happen
Ash,Ketchum,ash.ketchum@example.org,2023-06-02 19:10:28,Opened,Help us reach our goal!
Ron,Weasley,ron.weasley@example.org,2023-11-22 07:23:17,Opened,Holiday meal service needs you
Wanda,Maximoff,wanda.maximoff@example.org,2023-12-02 04:43:48,Sent,Your gift is changing lives
Lois,Lane,lois.lane@example.org,2023-08-07 23:20:47,Sent,Thank you for being part of the mission
Peter,Parker,peter.parker@example.org,2023-08-20 05:40:24,Sent,See your impact this month
Peter,Parker,peter.parker@example.org,2023-01-01 15:08:03,Sent,Spring fundraiser kicks off today
Ron,Weasley,ron.weasley@example.org,2023-05-07 12:41:00,Sent,Join the food drive next week
Steve,Rogers,steve.rogers@example.org,2023-07-25 12:44:56,Sent,Thank you for being part of the mission
Barbara,Gordon,barbara.gordon@example.org,2023-03-26 03:17:44,Sent,Thank you for being part of the mission
Natasha,Romanoff,natasha.romanoff@example.org,2023-07-10 16:50:40,Sent,Join the food drive next week
Peter,Parker,peter.parker@example.org,2023-07-22 11:11:30,Sent,Help us reach our goal!
Tony,Stark,tony.stark@example.org,2023-01-11 00:45:22,Sent,Thank you for being part of the mission
Harley,Quinn,harley.quinn@example.org,2023-04-01 02:07:26,Sent,Help us reach our goal!
Natasha,Romanoff,natasha.romanoff@example.org,2023-09-13 19:16:14,Sent,See your impact this month
Morty,Smith,morty.smith@example.org,2023-11-25 07:05:44,Sent,We smashed our target — thanks to you!
Ron,Weasley,ron.weasley@example.org,2023-03-10 17:40:27,Sent,See your impact this month
Barbara,Gordon,barbara.gordon@example.org,2023-10-02 15:15:57,Sent,Tech workshop registration now open
Ginny,Weasley,ginny.weasley@example.org,2023-11-19 14:25:34,Sent,Help us reach our goal!
Mickey,Mouse,mickey.mouse@example.org,2023-05-10 16:21:15,Sent,Holiday meal service needs you
Harley,Quinn,harley.quinn@example.org,2023-05-12 21:49:25,Sent,Upcoming community cleanup — join us
Patrick,Star,patrick.star@example.org,2023-06-19 13:22:13,Sent,We smashed our target — thanks to you!
Lisa,Simpson,lisa.simpson@example.org,2023-09-10 20:31:17,Sent,Upcoming community cleanup — join us
Clark,Kent,clark.kent@example.org,2023-02-12 01:04:05,Sent,We smashed our target — thanks to you!
Steve,Rogers,steve.rogers@example.org,2023-09-18 22:09:20,Sent,Help us reach our goal!
Lois,Lane,lois.lane@example.org,2023-10-13 12:40:46,Sent,Upcoming community cleanup — join us
Morty,Smith,morty.smith@example.org,2023-12-31 09:07:51,Opened,Your gift is changing lives
Velma,Dinkley,velma.dinkley@example.org,2023-02-04 17:38:18,Sent,Thank you for being part of the mission
Morty,Smith,morty.smith@example.org,2023-10-28 00:32:32,Sent,Exclusive update for supporters
Scott,Summers,scott.summers@example.org,2023-01-17 01:26:35,Opened,Volunteer Spotlight: You make it happen
Jean,Grey,jean.grey@example.org,2023-11-02 15:52:52,Opened,Upcoming community cleanup — join us
Mickey,Mouse,mickey.mouse@example.org,2023-11-04 21:54:51,Opened,Spring fundraiser kicks off today
Hermione,Granger,hermione.granger@example.org,2023-02-06 00:44:15,Opened,Join the food drive next week
Patrick,Star,patrick.star@example.org,2023-11-14 00:49:07,Sent,Upcoming community cleanup — join us
Diana,Prince,diana.prince@example.org,2023-08-29 14:33:58,Sent,See your impact this month
Scott,Summers,scott.summers@example.org,2023-08-02 21:33:09,Sent,Exclusive update for supporters
Peter,Parker,peter.parker@example.org,2023-01-08 18:16:21,Opened,Exclusive update for supporters
Scott,Summers,scott.summers@example.org,2023-07-17 09:38:43,Sent,Your gift is changing lives
Bruce,Wayne,bruce.wayne@example.org,2023-11-25 04:14:08,Opened,See your impact this month
Lois,Lane,lois.lane@example.org,2023-11-26 04:31:24,Sent,Spring fundraiser kicks off today
Ginny,Weasley,ginny.weasley@example.org,2023-06-28 23:39:34,Sent,Volunteer Spotlight: You make it happen
Peter,Parker,peter.parker@example.org,2023-12-16 17:05:02,Sent,Exclusive update for supporters
Peter,Parker,peter.parker@example.org,2023-03-02 05:36:02,Sent,Volunteer Spotlight: You make it happen
Ron,Weasley,ron.weasley@example.org,2023-09-19 05:23:52,Sent,Thank you for being part of the mission
Harley,Quinn,harley.quinn@example.org,2023-07-07 21:42:13,Sent,Help us reach our goal!
Homer,Simpson,homer.simpson@example.org,2023-08-12 22:30:24,Sent,Spring fundraiser kicks off today
Jean,Grey,jean.grey@example.org,2023-08-30 21:43:45,Sent,Holiday meal service needs you
Homer,Simpson,homer.simpson@example.org,2023-09-03 07:34:40,Sent,Holiday meal service needs you
Tony,Stark,tony.stark@example.org,2023-01-03 04:14:52,Opened,Holiday meal service needs you
