Donor First Name,Donor Last Name,Donor Email Address,Date of Donation,Dollar Amount,Note
Diana,Prince,diana.prince@nonprofit.org,2020-10-18,1.73,
Patrick,Star,patrick.star@email.com,2019-09-17,0.42,
Natasha,Romanoff,natasha.romanoff@email.com,2025-07-06,41451.13,In honor of a friend
Lois,Lane,lois.lane@example.org,2023-05-21,0.46,In honor of a friend
Tony,Stark,tony.stark@email.com,2022-01-22,0.5,Corporate match
Patrick,Star,patrick.star@charity.net,2020-04-15,0.81,
Tony,Stark,tony.stark@email.com,2024-06-12,1.19,Online donation
Patrick,Star,patrick.star@example.org,2023-06-18,1.92,
Lois,Lane,lois.lane@nonprofit.org,2025-03-05,1.2,Corporate match
Steve,Rogers,steve.rogers@email.com,2021-01-02,1.75,
Barbara,Gordon,barbara.gordon@email.com,2021-06-20,26.67,Gala pledge
Steve,Rogers,steve.rogers@nonprofit.org,2023-05-10,0.64,
Hermione,Granger,hermione.granger@example.org,2021-03-08,1895.12,In honor of a friend
SpongeBob,SquarePants,spongebob.squarepants@example.org,2025-06-13,0.51,Gala pledge
Steve,Rogers,steve.rogers@example.org,2024-07-23,1.71,Online donation
Clark,Kent,clark.kent@example.org,2023-02-09,39436.18,Recurring donation
Diana,Prince,diana.prince@nonprofit.org,2020-05-17,1.6,Corporate match
Jean,Grey,jean.grey@charity.net,2024-05-19,1.75,Online donation
Peter,Parker,peter.parker@nonprofit.org,2025-01-21,16.42,Corporate match
Diana,Prince,diana.prince+54@nonprofit.org,2021-11-25,0.26,
Tony,Chopper,tony.chopper@email.com,2023-06-14,1.0,
Diana,Prince,diana.prince@charity.net,2022-08-11,1.41,
Tony,Chopper,tony.chopper@example.org,2019-04-15,1.79,
Peter,Parker,peter.parker+35@charity.net,2023-12-15,48.84,
Morty,Smith,morty.smith@nonprofit.org,2023-04-16,34.26,Corporate match
Patrick,Star,patrick.star@email.com,2023-08-03,1.76,
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2021-09-08,0.39,Recurring donation
Ash,Ketchum,ash.ketchum@charity.net,2019-01-20,46.36,
Mickey,Mouse,mickey.mouse@nonprofit.org,2025-12-18,305.69,
Patrick,Star,patrick.star@email.com,2021-06-06,1.75,
Harley,Quinn,harley.quinn@charity.net,2021-07-15,7.48,Online donation
Scott,Summers,scott.summers@email.com,2020-09-17,1418.37,
Wanda,Maximoff,wanda.maximoff@charity.net,2021-09-19,7.02,
Steve,Rogers,steve.rogers@nonprofit.org,2023-09-03,0.31,Corporate match
Lois,Lane,lois.lane@charity.net,2020-12-04,1.36,In honor of a friend
Morty,Smith,morty.smith@nonprofit.org,2025-02-14,49.65,
SpongeBob,SquarePants,spongebob.squarepants@email.com,2024-03-11,0.69,
Tony,Stark,tony.stark@nonprofit.org,2020-06-25,1.72,Gala pledge
Jean,Grey,jean.grey@example.org,2019-12-04,1.26,
Diana,Prince,diana.pcince@charity.net,2023-01-22,0.54,Corporate match
Jean,Grey,jean.grey@email.com,2024-06-02,0.3,In honor of a friend
Tony,Stark,tony.stark@charity.net,2019-03-01,1.01,Gala pledge
Wanda,Maximoff,wanda.maximoff@email.com,2023-10-16,21.87,Gala pledge
Lois,Lane,lois.lane@charity.net,2019-02-23,0.27,Recurring donation
Steve,Rogers,steve.rogers@nonprofit.org,2023-12-08,0.29,
Ash,Ketchum,ash.ketchum@charity.net,2022-09-28,0.49,Gala pledge
Tony,Chopper,tony.chopper@charity.net,2022-04-08,1.76,Gala pledge
Ash,Ketchum,ash.ketchum@nonprofit.org,2024-06-22,49.12,Gala pledge
Steve,Rogers,steve.rogers@example.org,2019-06-30,0.92,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@email.com,2023-03-21,0.95,
Lois,Lane,lois.lane@charity.net,2023-12-06,0.7,Gala pledge
Barbara,Gordon,barbara.gordon@charity.net,2019-12-23,8.29,
Bugs,Bunny,bugs.bunny@nonprofit.org,2021-12-02,885.9,Gala pledge
Jean,Grey,jean.grey@example.org,2023-03-11,1.38,
Barbara,Gordon,barbara.gordon@nonprofit.org,2023-03-27,39.34,Recurring donation
Lois,Lane,lois.lane@charity.net,2019-07-08,1.34,Recurring donation
Morty,Smith,morty.smith@nonprofit.org,2024-06-29,23.83,
Diana,Prince,diana.prince@email.com,2021-05-22,1.42,Online donation
Steve,Rogers,steve.rogers@email.com,2019-04-08,0.75,
Mickey,Mouse,mickey.mouse@example.org,2025-06-21,414.07,
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2021-12-22,0.83,In honor of a friend
Tony,Stark,tony.stark@nonprofit.org,2023-05-23,1.26,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2021-10-02,0.37,Corporate match
Rick,Sanchez,rick.sanchez@example.org,2023-10-09,32.03,In honor of a friend
Tony,Chopper,tony.chopper@email.com,2021-10-20,1.31,In honor of a friend
SpongeBob,SquarePants,spongebob.squarepants@email.com,2019-10-31,0.6,Gala pledge
Jean,Grey,jean.grey@charity.net,2024-10-08,1.26,In honor of a friend
Diana,Prince,diana.prince@charity.net,2025-09-30,0.27,Recurring donation
Ash,Ketchum,ash.ketchum@charity.net,2024-11-14,33.77,
Tony,Stark,tony.stark@email.com,2024-10-12,0.31,Online donation
Steve,Rogers,steve.rogers@example.org,2022-11-16,1.66,Gala pledge
Patrick,Star,patrick.star@nonprofit.org,2019-10-15,1.04,Gala pledge
SpongeBob,SquarePants,spongebob.squarepants@email.com,2019-12-14,0.77,Gala pledge
Velma,Dinkley,velma.dinkley@charity.net,2024-12-14,136.92,Corporate match
Steve,Rogers,steve.rogers@email.com,2019-09-14,1.36,
Morty,Smith,morty.smith@example.org,2019-11-11,40.84,Corporate match
Barbara,Gordon,barbara.gordon@charity.net,2020-11-26,30.43,
Steve,Rogers,steve.rogers@nonprofit.org,2019-04-26,1.69,
Peter,Parker,peter.parker@email.com,2024-12-01,36.78,Recurring donation
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2020-06-16,1.77,
Steve,Rogers,steve.rogers@nonprofit.org,2020-12-23,0.53,
Patrick,Star,patrick.star@example.org,2024-06-12,0.7,In honor of a friend
Diana,Prince,diana.prince@charity.net,2020-01-15,0.96,
Peter,Parker,peter.parker@example.org,2025-04-15,38.34,Corporate match
Patrick,Star,patrick.star@nonprofit.org,2024-10-12,0.32,Corporate match
Lois,Lane,lois.lane@example.org,2023-01-21,1.72,Online donation
Lois,Lane,lois.lane@charity.net,2024-07-22,1.63,
Rick,Sanchez,rick.sanchez@charity.net,2020-11-25,22.07,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@email.com,2019-09-19,1.09,Corporate match
Ash,Ketchum,ash.ketchum@example.org,2021-04-25,47.32,Corporate match
Lois,Lane,lois.lane@example.org,2023-07-09,0.57,Online donation
Jean,Grey,jean.grey@email.com,2025-09-20,1.56,
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2020-08-10,1.59,Corporate match
Steve,Rogers,steve.rogers@email.com,2020-06-23,1.68,
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2024-02-01,0.96,
Tony,Stark,tony.stark@email.com,2021-08-04,1.53,Online donation
Lois,Lane,lois.lane@email.com,2019-08-01,0.55,
Barbara,Gordon,barbara.gordon@nonprofit.org,2025-04-09,7.46,
Peter,Parker,peter.parker@charity.net,2020-01-22,14.66,Gala pledge
Patrick,Stra,patrick.star@nonprofit.org,2022-07-15,1.27,
Jean,Grey,jean.grey@email.com,2022-01-23,1.94,Corporate match
Velma,Dinkley,velma.dinkley@charity.net,2020-09-10,264.66,In honor of a friend
Morty,Smith,morty.smith@example.org,2025-09-16,22.27,
Barbara,Gordon,barbara.gordon@nonprofit.org,2020-11-02,16.13,
Jean,Grey,jean.grey@example.org,2019-10-10,1.73,Corporate match
Patrick,Star,patrick.star@charity.net,2020-05-17,0.65,
Diana,Prince,diana.prince@example.org,2021-08-29,1.52,Recurring donation
Tony,Stark,tony.stark@charity.net,2020-11-30,1.49,Corporate match
Tony,Chopper,tony.chopper@charity.net,2019-01-20,1.44,
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2023-06-03,0.55,Corporate match
Wanda,Maximoff,wanda.maximoff@email.com,2025-05-24,14.33,
Tony,tSark,tony.stark@nonprofit.org,2021-04-03,0.97,Recurring donation
Patrick,Star,patrick.star@email.com,2022-07-13,1.79,Online donation
Steve,Rogers,steve.rogers@example.org,2025-08-20,1.43,Corporate match
Tony,Stark,tony.stark@nonprofit.org,2019-10-21,1.03,Corporate match
Clark,Kent,clark.kent@charity.net,2020-09-25,22959.6,Online donation
Tony,Chopper,tony.chopper@example.org,2022-09-30,0.61,Online donation
Morty,Smith,morty.smith@nonprofit.org,2020-12-12,31.56,Recurring donation
Tony,Stark,tony.stark@charity.net,2021-04-27,0.6,
Patrick,Star,patrick.star+67@email.com,2025-02-22,1.4,
Patrick,Star,patrick.star@example.org,2022-09-11,0.96,
Diana,Prince,diana.prince@nonprofit.org,2019-03-03,1.36,
Morty,Smith,morty.smith@example.org,2021-01-26,8.54,
Patrick,Star,patrick.star@email.com,2023-04-04,1.42,Corporate match
Steve,Rogers,steve.rogers@charity.net,2019-11-08,1.26,Recurring donation
Patrick,Star,patrick.star@email.com,2025-04-17,1.15,Gala pledge
Harley,Quinn,harley.quinn@charity.net,2020-02-24,612.83,Corporate match
Lois,Lane,lois.lane@nonprofit.org,2021-08-27,0.61,Recurring donation
Patrick,Star,patrick.star@charity.net,2020-03-01,0.64,Online donation
Rick,Sanchez,rick.sanchez@nonprofit.org,2021-11-04,8.99,In honor of a friend
Tony,Stark,tony.stark@email.com,2020-03-29,1.59,Gala pledge
Steve,Rogers,steve.rogers@charity.net,2022-03-14,0.76,Online donation
Homer,Simpson,homer.simpson@charity.net,2023-03-04,40403.76,Corporate match
Ash,Ketchmu,ash.ketchum@email.com,2020-06-13,45.06,Online donation
Jean,Grey,jean.grey@nonprofit.org,2020-03-05,1.43,Corporate match
Lisa,Simpson,lisa.simpson@charity.net,2023-08-14,44722.17,In honor of a friend
Patrick,Star,patrick.star@charity.net,2020-11-08,1.76,Corporate match
Bruce,Wayne,bruce.wayne@charity.net,2020-11-22,49180.42,Corporate match
Morty,Smith,morty.smith@example.org,2020-06-02,25.91,
Rick,Sanchez,rick.sanchez@email.com,2023-10-03,12.17,
Jean,Grey,jean.grey@charity.net,2025-07-12,0.59,Gala pledge
Tony,Chopper,tony.chopper@email.com,2025-05-25,0.66,Gala pledge
Ash,Ketchum,ash.ketchum@email.com,2021-02-02,23.5,Gala pledge
Diana,Prince,diana.prince@charity.net,2019-07-31,0.49,Recurring donation
SpongeBob,SquarePants,spongebob.squarepants@example.org,2025-10-30,0.48,Corporate match
Wanda,Maximoff,wanda.maximoff@example.org,2025-12-03,18.52,
Rick,Sanchez,rick.sanchez@example.org,2022-04-25,27.0,Online donation
Steve,Rogers,steve.rogers@example.org,2025-03-07,1.51,
Morty,Smith,morty.smith@charity.net,2019-02-19,46.44,Corporate match
Tony,Stark,tony.stark@nonprofit.org,2020-08-10,1.26,Recurring donation
Steve,Rogers,steve.rogers@example.org,2022-04-02,1.96,
Steve,Rogers,steve.rogers@email.com,2025-08-22,1.21,Corporate match
Rick,Sanchez,rick.sanchez@example.org,2023-01-24,10.09,Recurring donation
Clark,Kent,clark.kent@email.com,2022-04-24,35329.63,Corporate match
Jean,Grey,jean.grey@email.com,2021-02-03,0.65,Corporate match
Steve,Rogers,steve.rogers@charity.net,2023-11-08,0.36,Gala pledge
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2024-02-11,0.87,In honor of a friend
Lois,Lane,lois.lane@charity.net,2023-01-29,1.28,Recurring donation
Jena,Grey,jean.grey@charity.net,2023-01-28,1.88,Gala pledge
Steve,Rogers,steve.rogers@nonprofit.org,2022-08-26,1.2,
Tony,Stark,tony.stark@nonprofit.org,2019-10-25,0.46,
Patrick,Star,patrick.star@email.com,2022-03-01,1.42,Recurring donation
Lois,Lane,lois.lane@example.org,2022-03-13,1.28,
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2025-05-02,0.38,Corporate match
Barbara,Gordon,barbara.gordon@nonprofit.org,2019-12-18,37.03,Recurring donation
Tony,Chopper,tony.chopper@charity.net,2024-06-10,1.03,Corporate match
Lois,Lane,lois.lane@charity.net,2021-04-19,1.52,
Tony,Stark,tony.stark@example.org,2023-11-04,1.49,
SpongeBob,SquarePants,spongebob.squarepants@email.com,2021-02-05,0.59,
Jean,Grey,,2022-08-14,0.54,In honor of a friend
Tony,Stark,tony.stark@charity.net,2021-01-01,1.7,
Steve,Rogers,steve.rogers@email.com,2019-08-30,1.65,
Jean,Grey,jean.grey@example.org,2020-11-24,0.28,
Rick,Sanchez,rick.sanchez@nonprofit.org,2022-08-26,6.35,Gala pledge
Velma,Dinkley,velma.dinkley@nonprofit.org,2020-12-24,449.73,Corporate match
Patrick,Star,patrick.star@example.org,2023-08-31,0.65,
Diana,Prince,diana.prince@charity.net,2025-10-01,1.79,
Velma,Dinkley,velma.dinkley@charity.net,2023-12-17,457.69,Online donation
Ash,Ketchum,ash.ketchum@email.com,2025-12-16,32.94,
Jean,Grey,jean.lrey@email.com,2021-01-20,1.96,
Patrick,Star,patrick.star@nonprofit.org,2024-06-20,1.76,Recurring donation
Tnoy,Stark,tony.stark@example.org,2025-01-02,166.0,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@email.com,2024-06-09,0.56,Recurring donation
Peter,Parker,peter.parker@charity.net,2023-09-23,49.82,Corporate match
Lois,Lane,lois.lane@nonprofit.org,2021-03-24,1.22,Online donation
Rick,Sanchez,rick.sanchez@email.com,2024-11-27,24.6,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@nonprofit.org,2019-05-13,1.16,
Tony,hCopper,tony.chopper@charity.net,2023-04-13,1.55,In honor of a friend
Steve,Rogers,steve.rogers@charity.net,2020-01-05,1.0,
SpongeBob,SquarePants,spongebob.squarepants@example.org,2020-10-16,0.65,
Ash,Ketchum,ash.ketchum@example.org,2019-01-09,49.01,Corporate match
Lois,Lane,lois.lane@example.org,2025-05-10,1.1,
Tony,Stark,tony.stark@email.com,2023-04-30,1.31,
Lois,Lane,lois.lane@nonprofit.org,2019-07-22,0.29,Corporate match
Steve,Rogers,steve.rogers@charity.net,2023-04-20,1.92,
Diana,Prince,diana.prince@charity.net,2019-06-25,73.0,Online donation
Morty,Smith,morty.smith@nonprofit.org,2020-12-02,22.8,In honor of a friend
Jean,Grey,jean.grey+99@charity.net,2020-02-08,0.39,In honor of a friend
Tony,Chopper,tony.chopper@email.com,2020-12-13,1.62,Recurring donation
Lois,Lane,lois.lane@nonprofit.org,2024-06-05,0.33,Gala pledge
Tony,Chopper,tony.chopper@example.org,2019-01-03,0.46,Gala pledge
Jean,Grey,jean.grey@charity.net,2022-02-23,1.11,Online donation
Toyn,Chopper,tony.chopper@example.org,2025-06-17,1.51,In honor of a friend
Diana,Prince,diana.prince@nonprofit.org,2020-06-22,1.32,Recurring donation
Rick,Sanchez,rick.sanchez@email.com,2021-02-10,31.31,
Jean,Grey,jean.grey@nonprofit.org,2021-12-13,0.47,In honor of a friend
Steve,Rogers,steve.rogers@charity.net,2020-01-09,0.27,Corporate match
Jean,Grey,jean.grey@example.org,2023-01-04,1.6,
Steve,Rogers,steve.rogers@nonprofit.org,2020-03-29,1.2,In honor of a friend
Morty,Smith,morty.smith@example.org,2025-03-23,21.16,
Steve,Rogers,steve.rogers@example.org,2020-02-14,1.42,Online donation
Homer,Simpson,homer.simpson@charity.net,2022-06-13,48580.82,Gala pledge
Tony,Chopper,tony.chopper@nonprofit.org,2025-09-16,0.68,Recurring donation
Ash,Ketchum,ash.ketchum@example.org,2024-06-28,26.6,In honor of a friend
Diana,Prince,diana.prince@charity.net,2021-09-20,1.37,Online donation
Jean,Grey,jean.grey@charity.net,2022-09-16,0.91,Gala pledge
Lois,Lane,lois.lane@charity.net,2024-01-07,1.0,In honor of a friend
Jean,Grey,jean.grey@charity.net,2024-05-31,0.38,Online donation
Lois,Lane,,2024-09-26,1.53,Online donation
Ash,Ketchum,ash.ketchum@nonprofit.org,2019-09-25,6.95,Online donation
Tony,Stark,tony.stark@nonprofit.org,2025-01-07,1.65,
Tony,Chopper,tony.chopper@nonprofit.org,2025-10-09,0.67,Gala pledge
Velma,Dinkley,velma.dinkley@charity.net,2022-09-25,239.05,
Lois,Lane,lois.lane@nonprofit.org,2022-11-22,0.41,
Morty,Smith,morty.smith@charity.net,2024-02-13,14.93,Corporate match
Lois,Lane,lois.lane@example.org,2022-06-26,1.12,Online donation
Lois,Lane,loisjlane@nonprofit.org,2022-05-08,1.33,Corporate match
Jean,Grey,jean.grey@charity.net,2022-01-09,1.84,Online donation
Patrick,Star,patrick.star@example.org,2021-07-14,0.82,In honor of a friend
Tony,Chopper,tony.chopper@example.org,2019-02-11,1.67,Online donation
Lois,Lane,lois.lane@example.org,2025-08-03,0.54,
Steve,Rogers,steve.rogers@charity.net,2025-01-09,1.29,In honor of a friend
Velma,Dinkley,velma.dinkley@charity.net,2020-03-27,172.03,Corporate match
Steve,Rogers,steve.rogers@email.com,2020-11-16,1.36,
Diana,Prince,diana.prince@nonprofit.org,2023-09-12,0.41,Online donation
Diana,Prince,diana.prince@email.com,2022-04-11,0.98,
Tony,Chopper,tony.chopper@nonprofit.org,2020-07-19,1.44,Corporate match
Barbara,Gordon,barbara.gordon@email.com,2021-08-12,11.92,Gala pledge
Steve,Rogers,steve.rogers@email.com,2021-05-07,1.34,Recurring donation
Lois,Lane,lois.lane+24@email.com,2021-12-16,0.53,Corporate match
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2020-10-09,0.51,
Tony,Chopper,tony.chopper@charity.net,2022-09-09,1.33,Gala pledge
Steve,Rogers,steve.rogers@example.org,2020-04-17,0.58,In honor of a friend
Peter,Parker,peter.parker@email.com,2025-09-16,30.72,Online donation
Diana,Prince,diana.prince@example.org,2022-09-08,1.66,Online donation
SpongeBob,SquarePants,spongebob.squarepants@charity.net,2025-04-26,0.74,Corporate match
Jean,Grey,jean.grey@email.com,2021-10-01,1.34,Online donation
Barbara,Gordon,barbara.gordon@example.org,2021-11-25,9.08,Online donation
Tony,Stark,tony.stark@charity.net,2025-02-10,0.59,Online donation
Wanda,Maximoff,wanda.maximoff@example.org,2023-02-17,24.99,
Lois,Lane,lois.lane@nonprofit.org,2024-04-05,1.21,Recurring donation
Bruce,Wayne,bruce.wayne@nonprofit.org,2022-08-14,10686.44,Online donation
Mickey,Mouse,mickey.mouse@email.com,2023-09-15,272.78,Corporate match
Velma,Dinkley,velma.dinklec@example.org,2021-06-25,489.24,
Patrick,Star,patrick.star@nonprofit.org,2019-09-01,1.28,Online donation
Tony,Chopper,tony.chopper@charity.net,2019-04-23,1.68,Recurring donation
Wanda,Maximoff,wanda.maximoff@charity.net,2025-05-23,38.06,Recurring donation
Steve,Rogers,steve.rogers@charity.net,2025-03-24,1.41,Gala pledge
Ash,Ketchum,ash.ketchum@example.org,2024-11-27,29.97,
Lois,Lane,lois.laee@email.com,2020-10-27,0.54,In honor of a friend
Steve,Rogers,steve.rogers@nonprofit.org,2023-03-06,1.1,Online donation
Tony,Chopper,tony.chopper@email.com,2020-09-21,1.89,
Lois,Lane,lois.lane@email.com,2023-03-06,1.72,Online donation
Barbara,Gordon,barbara.gordon@nonprofit.org,2023-05-17,45.67,
Rick,Sanchez,rick.sanchez@charity.net,2023-10-01,42.21,
Diana,Prince,diana.prince@nonprofit.org,2020-06-13,1.71,
Jean,Grey,jean.grey@charity.net,2021-02-13,1.28,Gala pledge
Wanda,Maximoff,wanda.maximoff@charity.net,2023-03-25,26.33,
Steve,Rogers,steve.rogers@nonprofit.org,2023-08-26,1.63,
Mickey,Mouse,mickey.mouse@nonprofit.org,2025-03-30,282.43,Gala pledge
Patrick,Star,patrick.star@nonprofit.org,2021-12-02,0.95,Gala pledge
Steve,Rogers,steve.rogers@example.org,2020-01-19,1.05,
Rick,Sanchez,rick.sanchez@example.org,2022-02-23,48.65,
Patrick,Star,patrick.star@charity.net,2024-07-24,0.78,Gala pledge
Natasha,Romanoff,natasha.romanoff@example.org,2022-04-27,42256.14,
Rick,Sanchez,rick.sanchez@example.org,2025-01-04,25.19,Online donation
Tony,Satrk,tony.stark@example.org,2022-05-21,1.11,Corporate match
Rick,Sanchez,rick.sanchez@charity.net,2024-09-13,19.72,
SpongeBob,SquarePants,spongebob.squarepants@example.org,2021-03-01,0.82,Online donation
Patrick,Star,patrick.star@example.org,2020-10-10,0.58,Gala pledge
Ash,Ketchum,ash.ketchum@email.com,2025-06-15,39.6,Online donation
Tony,Chopper,tony.chopper@nonprofit.org,2024-02-20,1.63,
Steve,Rogers,steve.rogers@charity.net,2019-09-19,1.64,
Morty,Smith,morty.smith@charity.net,2024-02-13,14.16,
Lois,Lane,lois.lane@nonprofit.org,2019-01-04,0.71,
Tony,Stark,tony.stark@nonprofit.org,2023-06-11,1.04,Online donation
Patrick,Star,patrick.star@nonprofit.org,2023-12-29,0.94,
Tony,Stark,tony.stark@charity.net,2023-10-22,1.86,In honor of a friend
Ash,Ketchum,ash.ketchum@example.org,2022-07-26,26.09,In honor of a friend
Rick,Sanchez,rick.sanchez@nonprofit.org,2021-08-21,10.53,In honor of a friend
Tony,Stark,tony.stark@nonprofit.org,2024-09-08,1.05,Gala pledge
Diana,Prince,diana.prince@email.com,2019-05-19,0.46,Recurring donation
Jean,Grey,jean.grey@nonprofit.org,2024-01-03,1.54,In honor of a friend
Barbara,Gordon,barbara.gordon+95@email.com,2019-02-07,24.66,Recurring donation
Morty,Smith,morty.smith@nonprofit.org,2019-06-08,39.95,In honor of a friend
Rick,Sanchez,rick.sanchez@nonprofit.org,2025-01-25,35.07,Gala pledge
Steve,Rogers,steve.rogers@email.com,2024-01-21,0.75,In honor of a friend
SpongeBob,SquarePnats,spongebob.squarepants@charity.net,2019-05-23,0.57,
Wanda,Maximoff,wanda.maximoff@example.org,2020-08-17,14.72,Gala pledge
Tony,Chopper,tony.chopper@example.org,2024-09-30,1.7,
SpongeBob,SquarePants,spongebob.squarepants@example.org,2025-02-28,0.43,In honor of a friend
Steve,Rogers,steve.rogers@email.com,2021-03-05,1.96,Online donation
Jean,Grey,jean.grey@example.org,2024-06-25,1.05,Corporate match
Rick,Sanchez,rick.sanchez@email.com,2022-09-12,9.23,In honor of a friend
Barbara,Gordon,barbara.gordon@charity.net,2025-07-18,48.79,Online donation
Jean,Grey,jean.grey@nonprofit.org,2021-06-25,1.08,Gala pledge
Jean,Grey,jean.grey@nonprofit.org,2021-10-14,1.38,Corporate match
Barbara,Gordon,barbara.gordon@email.com,2022-05-22,6.75,Gala pledge
Peter,Parker,peter.parker@example.org,2024-02-11,41.98,Recurring donation
Tony,Stark,tony.stark@charity.net,2022-07-26,0.91,In honor of a friend
Jean,Grey,jean.grey@example.org,2022-02-27,1.55,In honor of a friend
Lois,Lane,lois.lane@example.org,2021-01-02,0.87,
Jean,Grey,jean.grey@charity.net,2021-03-26,1.84,Online donation
Harley,Quinn,harley.quinn@nonprofit.org,2020-07-02,1698.37,Corporate match
Diana,Prince,diana.prince@example.org,2020-06-20,0.87,Corporate match
Peter,Parker,peter.parker@charity.net,2024-05-15,32.82,Gala pledge
Lois,Lane,lois.lane@email.com,2021-03-25,0.95,
Velma,Dinkley,velma.dinkley@charity.net,2025-06-03,375.11,Corporate match
Peter,Parker,peter.parker@charity.net,2019-10-07,35.78,
Patrick,Star,patrick.star@charity.net,2025-06-24,0.67,In honor of a friend
Wanda,Maximoff,wanda.maximoff@nonprofit.org,2019-02-25,12.73,In honor of a friend
Wanda,Maximoff,wanda.maximoff@nonprofit.org,2023-04-15,19.09,
Diana,Prince,diana.prince@example.org,2021-12-08,1.28,Corporate match
Wanda,Maximoff,wanda.maximoff@charity.net,2022-01-09,48.74,
Lois,Lane,lois.lane@email.com,2023-06-10,0.58,Recurring donation
Barbara,Gordon,barbara.gordon@nonprofit.org,2020-10-27,46.68,Online donation
Diana,Prince,diana.prince@nonprofit.org,2023-02-25,1.15,
Morty,Smith,morty.smith@charity.net,2020-04-13,49.3,Recurring donation
Natasha,Romanfof,natasha.romanoff@example.org,2020-03-21,12490.92,Corporate match
Lois,Lane,lois.lane@charity.net,2022-10-25,0.35,In honor of a friend
Patrick,Star,patrick.star@charity.net,2024-02-09,1.26,
